cluster,id,tipo,UTM_N,UTM_E,depth(m),BD(g/cm3),VWC(m3/m3),PR(Mpa),Sand(%),Silt(%),Clay(%),EC(fdem),EC(ert)
1,1,tramline,5026203.506,730851.6209,0.1,1.49,0.24,1.77,18.4,53.5,28.2,4.73,34.1
1,1,tramline,5026203.506,730851.6209,0.2,1.52,0.26,1.56,17.3,53.6,29.2,4.47,26.4
1,1,tramline,5026203.506,730851.6209,0.3,1.44,0.24,2.66,17.2,54,28.8,5.02,18.3
1,1,tramline,5026203.506,730851.6209,0.4,1.41,0.22,3.21,17.6,54.4,28,7.16,11
1,1,tramline,5026203.506,730851.6209,0.5,1.6,0.24,3.83,17.3,53,29.6,10.10,14.6
1,1,tramline,5026203.506,730851.6209,0.6,1.55,0.23,4.54,27,48.9,24.1,13.29,10.1
1,1,tramline,5026203.506,730851.6209,0.7,1.59,0.2,5,22.7,55.5,21.8,15.41,9.8
1,2,tramline,5026201.242,730851.2379,0.1,1.49,0.23,1.65,15.4,54.8,29.8,4.56,36.5
1,2,tramline,5026201.242,730851.2379,0.2,1.55,0.25,2.39,16.4,53.9,29.7,4.56,30
1,2,tramline,5026201.242,730851.2379,0.3,1.49,0.23,3.02,15.9,54.4,29.7,5.02,21
1,2,tramline,5026201.242,730851.2379,0.4,1.49,0.22,3.01,16.6,53.6,29.8,7.10,12.1
1,2,tramline,5026201.242,730851.2379,0.5,1.56,0.22,4.06,15,54.1,30.9,9.98,15.9
1,2,tramline,5026201.242,730851.2379,0.6,1.5,0.25,5,13,54.6,32.4,13.12,10.8
1,2,tramline,5026201.242,730851.2379,0.7,1.42,0.25,5,15.9,52.1,32,13.12,10.4
1,3,tramline,5026199.397,730851.0986,0.1,1.6,0.26,1.33,19,53.1,27.9,4.94,39.6
1,3,tramline,5026199.397,730851.0986,0.2,1.57,0.26,1.31,18.3,53.5,28.2,4.00,28
1,3,tramline,5026199.397,730851.0986,0.3,1.45,0.24,1.25,18.1,53.5,28.4,4.25,18.9
1,3,tramline,5026199.397,730851.0986,0.4,1.51,0.25,3.62,17,53.8,29.2,7.88,11.9
1,3,tramline,5026199.397,730851.0986,0.5,1.56,0.24,4.86,19.3,52.8,27.9,8.88,14.7
1,3,tramline,5026199.397,730851.0986,0.6,1.51,0.21,4.26,30.9,48.1,21,12.01,10.8
1,3,tramline,5026199.397,730851.0986,0.7,1.53,0.21,5,23.9,55.3,20.8,15.17,10.6
1,4,cross,5026200.929,730853.3271,0.1,1.53,0.24,0.89,20.5,51.1,28.3,4.78,18.8
1,4,cross,5026200.929,730853.3271,0.2,1.54,0.25,1.4,20.6,51.8,27.7,4.78,16.1
1,4,cross,5026200.929,730853.3271,0.3,1.37,0.21,1.34,20.4,52.3,27.4,5.40,13.6
1,4,cross,5026200.929,730853.3271,0.4,1.33,0.19,2.23,21.3,50.8,27.9,7.62,11.4
1,4,cross,5026200.929,730853.3271,0.5,1.52,0.23,4.05,13.3,54.7,32,10.59,11.7
1,4,cross,5026200.929,730853.3271,0.6,1.52,0.25,4.97,25.7,48.3,25.9,13.75,10.8
1,4,cross,5026200.929,730853.3271,0.7,1.51,0.24,4.95,32.8,42.7,24.5,13.75,10.8
1,5,cross,5026201.521,730849.288,0.1,1.46,0.25,0.9,19.1,52.3,28.6,4.53,6.7
1,5,cross,5026201.521,730849.288,0.2,1.53,0.27,1.03,19.3,51.6,29.1,4.53,10
1,5,cross,5026201.521,730849.288,0.3,1.39,0.24,1.46,19.6,51.7,28.7,4.87,13.7
1,5,cross,5026201.521,730849.288,0.4,1.42,0.25,2.07,19.2,51.9,28.8,6.88,18.1
1,5,cross,5026201.521,730849.288,0.5,1.5,0.25,4.72,19,51.6,29.4,9.74,16.4
1,5,cross,5026201.521,730849.288,0.6,1.49,0.26,5,25.2,48.2,26.5,12.90,18.7
1,5,cross,5026201.521,730849.288,0.7,1.47,0.27,4.95,21.3,53.1,25.6,12.90,18.9
2,1,tramline,5026183.71,730835.891,0.1,1.43,0.26,1.95,18.6,52.3,29.1,7.69,42
2,1,tramline,5026183.71,730835.891,0.3,1.51,0.25,2.27,18.2,52.3,29.5,7.03,22.4
2,1,tramline,5026183.71,730835.891,0.4,1.57,0.24,2,24.4,52.2,23.4,11.78,16.5
2,1,tramline,5026183.71,730835.891,0.5,1.54,0.21,4.03,23.1,56.2,20.7,12.94,18
2,1,tramline,5026183.71,730835.891,0.6,1.57,0.21,5,21.9,58.1,20,16.29,16.2
2,1,tramline,5026183.71,730835.891,0.7,1.58,0.23,5,19.2,62.4,18.4,19.37,16.1
2,2,tramline,5026181.395,730835.5341,0.1,1.47,0.27,1.89,18.1,51.9,30.1,7.24,35.8
2,2,tramline,5026181.395,730835.5341,0.2,1.41,0.28,1.15,18.1,51.6,30.3,7.24,26.5
2,2,tramline,5026181.395,730835.5341,0.3,1.41,0.29,0.88,20.3,52.4,27.3,8.14,20.2
2,2,tramline,5026181.395,730835.5341,0.4,1.53,0.3,1.23,16.8,52.7,30.6,10.97,14.8
2,2,tramline,5026181.395,730835.5341,0.5,1.51,0.32,2.7,19.3,47.5,33.2,14.37,16.3
2,2,tramline,5026181.395,730835.5341,0.6,1.49,0.28,4.7,23.5,48.3,28.2,17.70,14.4
2,3,tramline,5026179.445,730835.2556,0.1,1.52,0.24,1.83,17.5,52.2,30.3,7.15,33.7
2,3,tramline,5026179.445,730835.2556,0.2,1.53,0.25,1,19.2,51.7,29.1,7.15,27.1
2,3,tramline,5026179.445,730835.2556,0.3,1.6,0.26,2.27,17,52.5,30.4,8.02,21.1
2,3,tramline,5026179.445,730835.2556,0.4,1.62,0.26,3.28,17.8,52.4,29.8,10.76,15.8
2,3,tramline,5026179.445,730835.2556,0.5,1.57,0.24,3.83,22.2,50.3,27.4,14.09,18
2,3,tramline,5026179.445,730835.2556,0.6,1.54,0.2,4.87,23.3,55.7,21,17.37,14.8
2,3,tramline,5026179.445,730835.2556,0.7,1.59,0.21,5,21.6,58.3,20.1,17.37,14.3
2,4,cross,5026181.082,730837.5885,0.1,1.4,0.23,1.06,21.8,49.4,28.8,7.60,8.3
2,4,cross,5026181.082,730837.5885,0.2,1.36,0.24,1.19,19.1,51,29.8,6.72,14.5
2,4,cross,5026181.082,730837.5885,0.3,1.5,0.28,1.82,19.8,57.6,22.6,7.22,18.5
2,4,cross,5026181.082,730837.5885,0.4,1.61,0.28,1.38,21.2,49.2,29.6,11.99,23.1
2,4,cross,5026181.082,730837.5885,0.5,1.51,0.24,2.42,21.3,51.3,27.4,15.33,21.6
2,4,cross,5026181.082,730837.5885,0.6,1.53,0.22,3.21,23.7,55.8,20.5,18.44,23.8
