Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,173.6,0.08,0,-5.35,-271.077,29.434,3
1,2,4,5,129.14,0.07,0,-8.46,-50.413,29.434,3
1,2,5,6,138.34,0.05,0,16.45,-107.041,145.844,3
1,2,6,7,134.18,0.05,0,-12.99,-51.91,145.844,3
1,2,7,8,123.23,0.03,0,-0.24,-72.741,389.445,3
1,2,8,9,120.84,0.03,0,-0.76,-44.583,389.445,3
1,2,9,10,118.71,0.08,0,-0.23,-29.435,392.626,3
1,2,10,11,167.91,0.07,0,-7.25,-29.145,392.626,3
1,2,11,12,119.63,0.07,0,-12.14,-15.206,395.316,3
1,2,12,13,163.71,0,0,19.36,-15.606,395.316,3
1,2,13,14,97.7,0.1,0,-14.47,-7.198,397.147,3
1,2,14,15,145.93,0.07,0,-1.32,-8.447,397.147,3
1,2,15,16,162.29,0.16,0,24.28,-7.563,399.679,3
1,2,16,17,129.13,0,0,-16.73,-4.889,399.679,3
1,2,17,18,184.07,0.09,0,12.99,-5.767,401.571,3
1,2,18,19,96.07,0.09,0,-15.31,-2.508,401.571,3
1,2,19,20,89.01,0.14,0,22.1,-1.965,403.185,3
1,2,20,21,169.26,0.03,0,-14.5,-3.176,403.185,3
1,2,21,22,81.08,0.89,0,-276.33,-1.308,404.495,3
1,2,22,23,111.03,0.14,0,261.98,-1.547,404.495,3
1,2,23,24,194.09,0,0,17.42,-2.353,404.63,3
2,3,4,5,149.23,0.07,0,-10.53,-243.743,30.788,3
2,3,5,6,123.83,0.03,0,15.32,-50.566,30.788,3
2,3,6,7,119.43,0.03,0,-12.58,-115.453,182.213,3
2,3,7,8,107.33,0.03,0,-1.58,-51.879,182.213,3
2,3,8,9,106.31,0.06,0,-0.56,-58.416,362.534,3
2,3,9,10,103.43,0,0,1.04,-35.523,362.534,3
2,3,10,11,146.01,0.05,0,-7.48,-33.743,365.915,3
2,3,11,12,104.76,0,0,-13.39,-16.947,365.915,3
2,3,12,13,145.72,0.03,0,18.89,-17.259,368.369,3
2,3,13,14,84.07,0.03,0,-12.92,-7.468,368.369,3
2,3,14,15,125.4,0,0,-2.79,-8.622,370.665,3
2,3,15,16,145.94,0.06,0,24.81,-7.884,370.665,3
2,3,16,17,110.77,0.08,0,-16.52,-4.807,372.16,3
2,3,17,18,160.05,0,0,12.83,-5.643,372.16,3
2,3,18,19,82.87,0.31,0,-15.15,-2.407,372.232,3
2,3,19,20,73.83,0.11,0,22.7,-1.787,372.232,3
2,3,20,21,148.68,0.1,0,-11.1,-3.004,369.075,3
2,3,21,22,66.72,0.1,0,-281.46,-1.146,369.075,3
2,3,22,23,99.39,1.04,0,262.88,-1.451,366.114,3
2,3,23,24,163.84,0.11,0,19.56,-2.066,366.114,3
3,4,2,1,175.06,4.4,0,160.96,43.552,4.69,3
3,4,5,6,178.21,0.04,0,11.39,-193.574,20.474,3
3,4,6,7,185.98,0.05,0,-13.3,-50.502,20.474,3
3,4,7,8,173.51,0,0,-2.8,-105.766,114.903,3
3,4,8,9,169.78,0,0,-0.87,-51.748,114.903,3
3,4,9,10,165.41,0.03,0,1.71,-57.342,228.707,3
3,4,10,11,241.17,0,0,-8.11,-52.254,228.707,3
3,4,11,12,168.77,0,0,-14.15,-37.762,354.274,3
3,4,12,13,234.09,0.05,0,18.17,-36.664,354.274,3
3,4,13,14,138.1,0.05,0,-11.74,-15.638,352.182,3
3,4,14,15,203.6,0.08,0,-3.83,-17.291,352.182,3
3,4,15,16,236.73,0.05,0,25.34,-15.311,348.66,3
3,4,16,17,179.98,0.14,0,-16.65,-9.146,348.66,3
3,4,17,18,260.19,0.07,0,12.92,-10.536,347.281,3
3,4,18,19,133.73,0,0,-15.28,-4.4,347.281,3
3,4,19,20,125.3,0.08,0,23.33,-3.408,348.623,3
3,4,20,21,237.32,0.1,0,-9.69,-5.379,348.623,3
3,4,21,22,115.58,0.54,0,-283.12,-2.215,350.102,3
3,4,22,23,154.16,0.61,0,261.9,-2.512,350.102,3
3,4,23,24,274.49,0.04,0,21.23,-3.85,351.63,3
4,5,1,2,127.31,0.06,0,149.42,-49.276,29.183,3
4,5,2,3,149.03,0.85,0,-415.81,-230.735,29.183,3
4,5,3,6,138.82,0.12,0,599.92,147.038,6.655,3
4,5,6,7,141.47,0.05,0,-14.45,-49.949,6.655,3
4,5,7,8,132.38,0.03,0,-2.25,-137.669,78.408,3
4,5,8,9,122.84,0.03,0,-0.35,-51.097,78.408,3
4,5,9,10,116.7,0.03,0,2.85,-59.831,193.276,3
4,5,10,11,177.4,0.03,0,-7.51,-51.971,193.276,3
4,5,11,12,116.73,0.03,0,-14.05,-41.303,373.508,3
4,5,12,13,162.03,0.04,0,18.46,-38.222,373.508,3
4,5,13,14,95.81,0.07,0,-10.93,-15.921,375.891,3
4,5,14,15,142.36,0.12,0,-4.14,-17.205,375.891,3
4,5,15,16,160.23,0.12,0,25.76,-14.602,377.903,3
4,5,16,17,126.62,0.16,0,-16.52,-8.876,377.903,3
4,5,17,18,176.52,0.13,0,13.04,-9.789,380.465,3
4,5,18,19,93.66,0.16,0,-15.22,-4.155,380.465,3
4,5,19,20,87.1,0.14,0,23.64,-3.157,382.565,3
4,5,20,21,163.28,0.06,0,-8.59,-4.873,382.565,3
4,5,21,22,79.16,0.3,0,-283.44,-1.977,384.086,3
