,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
0,1,2,3,4,377.7,0.09,0,-3.545,-400.2925,23.702,C
1,1,2,4,5,230.01,0.05,0,-8.48,-51.165,23.702,C
2,1,2,5,6,257.315,0.015,0,3.355,-151.9335,113.553,C
3,1,2,6,7,191.79,0.04,0,6.885,-52.85,113.553,C
4,1,2,7,8,313.095,0.035,0,-22.32,-79.3015,189.4275,C
5,1,2,8,9,312.965,0.07,0,13.475,-47.6745,189.4275,C
6,1,2,9,10,208.71,0.045,0,8.205,-31.2305,5117.138,C
7,1,2,10,11,252.27,0.045,0,-4.59,-26.3655,5117.138,C
8,1,2,11,12,254.4,0.125,0,12.86,-21.7755,264.0945,C
9,1,2,12,13,-3766.575,1.23,0,-3.64,232.4925,264.0945,C
10,1,2,13,14,171.77,65.415,0,3.82,-15.6695,5137.288,C
11,1,2,14,15,171.12,0.015,0,-4.065,-6.924,5137.288,C
12,1,2,15,16,247.435,0.205,0,-3.12,-7.7685,267.7145,C
13,1,2,16,17,289.875,0.18,0,-3.745,-7.4945,267.7145,C
14,1,2,17,18,162.965,0.11,0,10.48,-3.413,266.303,C
15,1,2,18,19,116.165,0.36,0,1.355,-2.0135,266.303,C
16,1,2,19,20,248.645,0.145,0,-25.81,-3.7685,267.94,C
17,1,2,20,21,215.585,0.18,0,29.09,-2.766,267.94,C
18,1,2,21,22,253.2,0.205,0,-15.69,-2.788,270.626,C
19,1,2,22,23,121.985,0.35,0,9.685,-1.146,270.626,C
20,1,2,23,24,124.795,0.575,0,-17.035,-1.0185,273.5555,C
21,2,3,4,5,219.2,0.055,0,-11.305,-151.954,12.9605,C
22,2,3,5,6,290.805,0.06,0,2.22,-49.9775,12.9605,C
23,2,3,6,7,211.055,0.03,0,9.33,-63.074,62.395,C
24,2,3,7,8,353.39,0.045,0,-24.16,-51.906,62.395,C
25,2,3,8,9,356.97,0.04,0,13.175,-78.159,174.2605,C
26,2,3,9,10,370.74,0.06,0,8.7,-52.702,174.2605,C
27,2,3,10,11,396.025,0.05,0,-5.325,-63.212,250.6995,C
28,2,3,11,12,303.265,0.125,0,13.705,-33.774,250.6995,C
29,2,3,12,13,241.585,0.075,0,51.265,-19.6805,252.225,C
30,2,3,13,14,280.77,0.125,0,-69.725,-17.2175,252.225,C
31,2,3,14,15,313.16,0.04,0,-3.39,-14.8685,254.546,C
32,2,3,15,16,307.115,0.085,0,-3.315,-11.425,254.546,C
33,2,3,16,17,376.085,0.155,0,-5.205,-11.313,256.596,C
34,2,3,17,18,198.935,0.12,0,11.685,-4.846,256.596,C
35,2,3,18,19,152.29,0.225,0,1.05,-3.0775,258.84,C
36,2,3,19,20,315.28,0.1,0,-26.02,-5.333,258.84,C
37,2,3,20,21,295.795,0.135,0,30.11,-4.227,260.2815,C
38,2,3,21,22,306.575,0.25,0,-15.765,-3.7225,260.2815,C
39,2,3,22,23,173.455,0.165,0,8.765,-1.8155,262.2355,C
40,2,3,23,24,135.64,0.435,0,-17.585,-1.2255,262.2355,C
41,3,4,2,1,386.655,4.16,0,143.685,41.0585,2.1925,C
42,3,4,5,6,291.91,0.035,0,-1.89,-277.906,17.841,C
43,3,4,6,7,213.55,0.05,0,8.675,-50.4675,17.841,C
44,3,4,7,8,372.695,0.03,0,-23.495,-105.3765,53.935,C
45,3,4,8,9,379.635,0.04,0,12.755,-51.742,53.935,C
46,3,4,9,10,411.175,0.02,0,9.06,-90.3315,150.2245,C
47,3,4,10,11,414.195,0.03,0,-5.54,-52.3955,150.2245,C
48,3,4,11,12,351.09,0.145,0,20.055,-60.5035,273.8735,C
49,3,4,12,13,284.74,0.175,0,33.965,-34.483,273.8735,C
50,3,4,13,14,314.22,0.07,0,-56.77,-27.5075,277.3435,C
51,3,4,14,15,357.68,0.105,0,-3.375,-23.692,277.3435,C
52,3,4,15,16,401.91,0.045,0,-2.835,-21.0525,280.271,C
53,3,4,16,17,419.515,0.105,0,-6.365,-16.817,280.271,C
54,3,4,17,18,119.735,0.05,0,12.755,-3.742,5131.355,C
55,3,4,18,19,74.875,0.155,0,0.525,-1.919,5131.355,C
56,3,4,19,20,383.125,0.145,0,-25.65,-8.2575,281.704,C
57,3,4,20,21,316.77,0.105,0,30.155,-5.724,281.704,C
58,3,4,21,22,228.13,0.105,0,-15.525,-3.378,5133.4855,C
59,3,4,22,23,81.255,0.04,0,7.95,-1.041,5133.4855,C
60,3,4,23,24,232.66,0.155,0,-17.63,-2.6515,282.3045,C
61,4,5,1,2,229.81,0.415,0,153.07,-48.4735,22.112,C
62,4,5,2,3,218.5,0.675,0,-443.28,-196.63,22.112,C
63,4,5,3,6,177.055,0.08,0,641.845,245.5105,10.0915,C
64,4,5,6,7,104.11,0.085,0,7.88,-49.3545,10.0915,C
65,4,5,7,8,192.255,0.02,0,-23.815,-133.1465,63.004,C
66,4,5,8,9,216.22,0.04,0,12.22,-51.47,63.004,C
67,4,5,9,10,224.55,0.05,0,8.615,-94.347,219.4205,C
68,4,5,10,11,237.785,0.1,0,-6.31,-46.859,219.4205,C
69,4,5,11,12,186.63,0.065,0,16.135,-53.4825,320.8205,C
