Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,30.55,0.05,0,33.72,-348.661,215.099,Pro-24skip
1,2,4,5,18.9,0,0,-2,-53.913,215.099,Pro-24skip
1,2,5,6,12.18,0.07,0,15.01,-17.422,269.617,Pro-24skip
1,2,6,7,10.8,0.14,0,-30.16,-7.722,269.617,Pro-24skip
1,2,7,8,10.12,0.05,0,19.24,-4.187,272.897,Pro-24skip
1,2,8,9,10.26,0.17,0,-9.06,-2.651,272.897,Pro-24skip
1,2,9,10,9.9,0.11,0,-10.08,-1.723,275.518,Pro-24skip
1,2,10,11,9.5,0.51,0,-2.89,-1.157,275.518,Pro-24skip
1,2,11,12,11.44,0.44,0,19.64,-1.02,277.326,Pro-24skip
1,2,12,13,8.7,1.03,0,-16.11,-0.582,277.326,Pro-24skip
1,2,13,14,10.07,0.62,0,16.42,-0.521,279.125,Pro-24skip
1,2,14,15,13.91,0.52,0,12.57,-0.566,279.125,Pro-24skip
1,2,15,16,-1.46,0.21,0,6.24,0.048,280.643,Pro-24skip
1,2,16,17,5.38,0.21,0,-12.89,-0.143,280.643,Pro-24skip
1,2,17,18,13.49,0.26,0,-18.65,-0.296,281.003,Pro-24skip
1,2,18,19,0.87,28.53,0,6.17,-0.016,281.003,Pro-24skip
1,2,19,20,13.86,2.37,0,6.56,-0.213,280.628,Pro-24skip
1,2,20,21,-0.73,0,0,22.14,0.01,280.628,Pro-24skip
1,2,21,22,15.15,2.92,0,-24.1,-0.168,278.739,Pro-24skip
1,2,22,23,-2.32,20.21,0,-12.53,0.022,278.739,Pro-24skip
1,2,23,24,19.31,2.59,0,17.45,-0.159,274.74,Pro-24skip
2,3,4,5,25.76,0.04,0,-8.05,-387.837,283.78,Pro-24skip
2,3,5,6,13.96,0,0,15.87,-52.534,283.78,Pro-24skip
2,3,6,7,11.58,0.07,0,-32.04,-18.255,297.238,Pro-24skip
2,3,7,8,10.14,0.15,0,20.07,-7.998,297.238,Pro-24skip
