Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,32.92,0.08,0,-20.05,-376.424,215.527,Pro-24skip
1,2,4,5,18.89,0.09,0,23.36,-53.986,215.527,Pro-24skip
1,2,5,6,11.21,0.22,0,4.03,-15.533,261.213,Pro-24skip
1,2,6,7,12.16,0.25,0,5.34,-8.424,261.213,Pro-24skip
1,2,7,8,10.3,0.26,0,-1.97,-4.165,266.861,Pro-24skip
1,2,8,9,10.59,0.31,0,7.95,-2.677,266.861,Pro-24skip
1,2,9,10,8.57,0.2,0,2.81,-1.469,271.226,Pro-24skip
1,2,10,11,13.76,0.38,0,-22,-1.65,271.226,Pro-24skip
1,2,11,12,10.71,0.54,0,15.23,-0.947,275.159,Pro-24skip
1,2,12,13,11.07,0.29,0,-18.8,-0.734,275.159,Pro-24skip
1,2,13,14,9.12,0.71,0,17.56,-0.471,278.187,Pro-24skip
1,2,14,15,14.66,0.51,0,1.11,-0.594,278.187,Pro-24skip
1,2,15,16,-1.07,20.8,0,8.72,0.035,279.138,Pro-24skip
1,2,16,17,8.6,1.57,0,-9.18,-0.227,279.138,Pro-24skip
1,2,17,18,5.16,4,0,-15.88,-0.108,268.385,Pro-24skip
1,2,18,19,10.57,2.28,0,-12.86,-0.184,268.385,Pro-24skip
1,2,19,20,5.63,5.31,0,-9.15,-0.083,267.986,Pro-24skip
1,2,20,21,9.81,2.79,0,-2.05,-0.122,267.986,Pro-24skip
1,2,21,22,1.18,0,0,4.27,-0.013,269.652,Pro-24skip
1,2,22,23,16.43,0.17,0,21.75,-0.153,269.652,Pro-24skip
1,2,23,24,-1.76,51.25,0,0.43,0.014,270.977,Pro-24skip
2,3,4,5,25.74,0.04,0,27.73,-358.526,262.585,Pro-24skip
2,3,5,6,12.07,0.03,0,3.78,-42.036,262.585,Pro-24skip
2,3,6,7,11.88,0.11,0,5.54,-17.259,273.803,Pro-24skip
2,3,7,8,9.8,0.14,0,-2.1,-7.118,273.803,Pro-24skip
2,3,8,9,9.87,0.13,0,8.65,-4.104,274.242,Pro-24skip
2,3,9,10,9.01,0.15,0,2.47,-2.34,274.242,Pro-24skip
2,3,10,11,12.07,0.2,0,-22.82,-2.098,275.283,Pro-24skip
2,3,11,12,8.88,0.05,0,15.34,-1.081,275.283,Pro-24skip
2,3,12,13,12.6,0.05,0,-17.97,-1.119,276.287,Pro-24skip
2,3,13,14,4.1,1.67,0,17.21,-0.273,276.287,Pro-24skip
2,3,14,15,10.14,0.54,0,0.62,-0.521,277.253,Pro-24skip
2,3,15,16,1.42,0.33,0,9.22,-0.057,277.253,Pro-24skip
2,3,16,17,10.59,0.34,0,-8.5,-0.343,278.055,Pro-24skip
2,3,17,18,3.98,0.34,0,-16.32,-0.105,278.055,Pro-24skip
2,3,18,19,17.65,0.82,0,-13.81,-0.385,279.288,Pro-24skip
2,3,19,20,-6.83,0.33,0,-8.78,0.124,279.288,Pro-24skip
2,3,20,21,18.56,1.27,0,-1.08,-0.283,278.405,Pro-24skip
2,3,21,22,-5.15,0.33,0,3.76,0.067,278.405,Pro-24skip
2,3,22,23,45.06,1.49,0,20.61,-0.499,277.665,Pro-24skip
2,3,23,24,-40.21,1.22,0,1.06,0.385,277.665,Pro-24skip
3,4,2,1,33.47,3.29,0,219.48,38.684,21.786,Pro-24skip
3,4,5,6,19.32,0.03,0,3.82,-245.355,239.335,Pro-24skip
3,4,6,7,16.49,0.04,0,5.27,-52.343,239.335,Pro-24skip
3,4,7,8,12.93,0.05,0,-1.98,-22.661,330.273,Pro-24skip
3,4,8,9,12.11,0.11,0,8.76,-10.612,330.273,Pro-24skip
3,4,9,10,12.04,0.11,0,1.83,-6.053,331.623,Pro-24skip
3,4,10,11,13.25,0.11,0,-22.92,-4.161,331.623,Pro-24skip
3,4,11,12,13.36,0.06,0,15.75,-2.81,333.118,Pro-24skip
3,4,12,13,10.69,0.17,0,-17.85,-1.574,333.118,Pro-24skip
3,4,13,14,11.11,0.4,0,17.11,-1.195,334.657,Pro-24skip
3,4,14,15,6.54,0.68,0,0.14,-0.528,334.657,Pro-24skip
3,4,15,16,8.73,0.16,0,9.9,-0.544,335.71,Pro-24skip
3,4,16,17,7.47,1.07,0,-8.32,-0.366,335.71,Pro-24skip
3,4,17,18,10.69,0.14,0,-16.37,-0.42,336.728,Pro-24skip
3,4,18,19,6.88,0.13,0,-14.47,-0.219,336.728,Pro-24skip
3,4,19,20,11.61,0.14,0,-8.3,-0.305,336.992,Pro-24skip
3,4,20,21,2.76,7.29,0,-0.86,-0.06,336.992,Pro-24skip
3,4,21,22,11.89,0.15,0,3.71,-0.219,337.022,Pro-24skip
3,4,22,23,0.81,0,0,19.27,-0.013,337.022,Pro-24skip
3,4,23,24,12.31,2.58,0,2.23,-0.165,336.73,Pro-24skip
4,5,1,2,18.87,0,0,28.72,-50.958,203.613,Pro-24skip
4,5,2,3,25.79,0.6,0,-305.09,-278.57,203.613,Pro-24skip
4,5,3,6,19.01,0.13,0,568.53,156.413,51.704,Pro-24skip
4,5,6,7,18.42,0.05,0,5.65,-50.528,51.704,Pro-24skip
4,5,7,8,12.96,0.03,0,-1.98,-61.313,356.568,Pro-24skip
4,5,8,9,11.71,0.07,0,8.96,-22.152,356.568,Pro-24skip
4,5,9,10,11.27,0.08,0,0.87,-10.691,357.651,Pro-24skip
4,5,10,11,12.64,0.13,0,-22.53,-6.851,357.651,Pro-24skip
4,5,11,12,12.25,0.07,0,15.94,-4.174,359.624,Pro-24skip
4,5,12,13,10.04,0.54,0,-17.61,-2.279,359.624,Pro-24skip
4,5,13,14,9.99,0.1,0,16.82,-1.59,360.073,Pro-24skip
4,5,14,15,6.15,0.45,0,-0.12,-0.712,360.073,Pro-24skip
4,5,15,16,7.99,0.18,0,10.34,-0.696,361.367,Pro-24skip
4,5,16,17,7.11,0.18,0,-8.06,-0.477,361.367,Pro-24skip
4,5,17,18,9.56,0.18,0,-16.53,-0.505,362.697,Pro-24skip
4,5,18,19,6.31,0.18,0,-14.86,-0.267,362.697,Pro-24skip
4,5,19,20,10.52,0.16,0,-7.97,-0.362,363.535,Pro-24skip
4,5,20,21,3.14,5.23,0,-0.71,-0.089,363.535,Pro-24skip
4,5,21,22,9.8,1.77,0,3.57,-0.232,364.34,Pro-24skip
4,5,22,23,1.12,20.03,0,18.11,-0.022,364.34,Pro-24skip
4,5,23,24,10.11,4.34,0,3.11,-0.172,364.905,Pro-24skip
5,6,1,2,11.28,0.09,0,53.7,-22.302,372.636,Pro-24skip
5,6,2,3,12.11,0.05,0,-24.13,-59.845,372.636,Pro-24skip
5,6,3,4,19.4,0.34,0,-254.1,-48.091,46.728,Pro-24skip
5,6,4,7,14.52,0.17,0,576.35,107.966,46.728,Pro-24skip
5,6,7,8,13.69,0.05,0,-1.83,-249.243,343.164,Pro-24skip
5,6,8,9,11.54,0,0,9.11,-52.54,343.164,Pro-24skip
5,6,9,10,10.42,0.04,0,-0.07,-21.059,380.811,Pro-24skip
