Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
1,2,3,4,27.25,0.03,0,13.39,-315.061,217.923,Pro-24skip
1,2,4,5,18.08,0.03,0,7.73,-52.26,217.923,Pro-24skip
1,2,5,6,11.38,0.12,0,-3.22,-21.38,354.047,Pro-24skip
1,2,6,7,10.93,0.08,0,1.98,-10.262,354.047,Pro-24skip
1,2,7,8,10.3,0.13,0,-5.69,-5.455,349.567,Pro-24skip
1,2,8,9,9.34,0.17,0,2.32,-3.093,349.567,Pro-24skip
1,2,9,10,9.33,0.08,0,-10.11,-2.054,348.708,Pro-24skip
1,2,10,11,10.43,0.57,0,-45.38,-1.609,348.708,Pro-24skip
1,2,11,12,11.16,0.25,0,42.06,-1.259,350.813,Pro-24skip
1,2,12,13,9.51,0.28,0,-12.7,-0.804,350.813,Pro-24skip
1,2,13,14,10.07,0.86,0,10.91,-0.658,352.221,Pro-24skip
1,2,14,15,12.63,0.27,0,2.27,-0.649,352.221,Pro-24skip
1,2,15,16,2.19,5.48,0,-1.93,-0.091,354.477,Pro-24skip
1,2,16,17,2.41,5.39,0,42.6,-0.081,354.477,Pro-24skip
1,2,17,18,19.22,0.25,0,-42.71,-0.534,356.26,Pro-24skip
1,2,18,19,-4.94,0.26,0,5.11,0.114,356.26,Pro-24skip
1,2,19,20,12,1.66,0,5.69,-0.235,357.991,Pro-24skip
1,2,20,21,0.76,0,0,34.71,-0.013,357.991,Pro-24skip
1,2,21,22,12.66,0.27,0,-34.51,-0.181,358.981,Pro-24skip
1,2,22,23,-1.29,0,0,-18.65,0.016,358.981,Pro-24skip
1,2,23,24,28.34,0.25,0,1.09,-0.305,359.544,Pro-24skip
2,3,4,5,28.36,0.03,0,6.16,-392.663,261.021,Pro-24skip
2,3,5,6,14.99,0.04,0,-5.3,-51.891,261.021,Pro-24skip
2,3,6,7,13.1,0,0,1.66,-27.649,397.714,Pro-24skip
2,3,7,8,11.39,0.06,0,-6.61,-12.02,397.714,Pro-24skip
2,3,8,9,10.47,0.06,0,3.81,-6.361,400.835,Pro-24skip
2,3,9,10,9.41,0.07,0,-8.83,-3.573,400.835,Pro-24skip
2,3,10,11,11.96,0.03,0,-50.94,-3.042,402.792,Pro-24skip
2,3,11,12,10.94,0.22,0,45.75,-1.949,402.792,Pro-24skip
2,3,12,13,11,0.56,0,-14.34,-1.431,404.6,Pro-24skip
2,3,13,14,8.5,0.03,0,11.71,-0.83,404.6,Pro-24skip
2,3,14,15,7.85,0.03,0,2.36,-0.591,406.03,Pro-24skip
2,3,15,16,6.98,1.07,0,-3.51,-0.413,406.03,Pro-24skip
2,3,16,17,8.23,0.02,0,46.9,-0.391,407.597,Pro-24skip
2,3,17,18,7.49,1.53,0,-47.6,-0.289,407.597,Pro-24skip
2,3,18,19,8.48,1.64,0,6.94,-0.27,408.681,Pro-24skip
2,3,19,20,6.82,0.03,0,6.28,-0.181,408.681,Pro-24skip
2,3,20,21,7.93,2.56,0,35.56,-0.178,409.911,Pro-24skip
2,3,21,22,5.17,4.59,0,-35.52,-0.099,409.911,Pro-24skip
2,3,22,23,10.87,2.5,0,-17.57,-0.178,410.612,Pro-24skip
2,3,23,24,0.22,0,0,-0.55,-0.003,410.612,Pro-24skip
3,4,2,1,27.6,5.1,0,217.45,32.074,21.903,Pro-24skip
3,4,5,6,19.57,0.03,0,-5.86,-254.514,245.198,Pro-24skip
3,4,6,7,16.05,0.05,0,1.57,-52.203,245.198,Pro-24skip
3,4,7,8,12.99,0.06,0,-6.77,-22.976,333.503,Pro-24skip
3,4,8,9,11.38,0.09,0,4.5,-10.071,333.503,Pro-24skip
3,4,9,10,10.13,0.07,0,-7.86,-5.141,334.922,Pro-24skip
3,4,10,11,12.54,0.13,0,-53.86,-3.98,334.922,Pro-24skip
3,4,11,12,11.67,0.24,0,48.19,-2.48,336.343,Pro-24skip
3,4,12,13,11.27,0.5,0,-15.32,-1.675,336.343,Pro-24skip
3,4,13,14,8.92,0.26,0,12.4,-0.97,338.099,Pro-24skip
3,4,14,15,7.84,0.98,0,2.2,-0.639,338.099,Pro-24skip
3,4,15,16,7.61,1.13,0,-4.19,-0.48,339.855,Pro-24skip
3,4,16,17,7.96,0.96,0,48.81,-0.394,339.855,Pro-24skip
3,4,17,18,7.36,1.35,0,-50.63,-0.292,340.814,Pro-24skip
3,4,18,19,8.66,1.79,0,7.75,-0.28,340.814,Pro-24skip
3,4,19,20,8.58,0.18,0,6.94,-0.229,342.111,Pro-24skip
3,4,20,21,6.86,5.31,0,35.84,-0.153,342.111,Pro-24skip
3,4,21,22,6.09,0.17,0,-35.94,-0.114,343.518,Pro-24skip
3,4,22,23,6.96,4.21,0,-17.37,-0.111,343.518,Pro-24skip
3,4,23,24,3.47,0.18,0,-1.13,-0.048,344.343,Pro-24skip
4,5,1,2,18.13,0.03,0,51.4,-50.173,208.664,Pro-24skip
4,5,2,3,28.4,0.56,0,-304.96,-314.402,208.664,Pro-24skip
4,5,3,6,19.72,0.12,0,616.07,170.461,54.304,Pro-24skip
4,5,6,7,17.6,0.03,0,2.02,-50.696,54.304,Pro-24skip
4,5,7,8,14.29,0.03,0,-6.76,-66.142,349.061,Pro-24skip
4,5,8,9,11.98,0,0,5.09,-22.193,349.061,Pro-24skip
4,5,9,10,10.7,0.11,0,-7.32,-9.992,352.07,Pro-24skip
4,5,10,11,12.68,0.1,0,-55.82,-6.768,352.07,Pro-24skip
4,5,11,12,12.03,0.07,0,49.64,-4.022,352.844,Pro-24skip
4,5,12,13,10.97,0.26,0,-15.94,-2.445,352.844,Pro-24skip
4,5,13,14,9.73,0.1,0,12.76,-1.523,354.074,Pro-24skip
4,5,14,15,6.9,0.76,0,2.15,-0.785,354.074,Pro-24skip
4,5,15,16,9.88,0.35,0,-4.67,-0.846,354.999,Pro-24skip
4,5,16,17,5.21,0.17,0,50.14,-0.343,354.999,Pro-24skip
4,5,17,18,14.59,0.61,0,-52.66,-0.757,355.866,Pro-24skip
4,5,18,19,0.38,0,0,8.46,-0.016,355.866,Pro-24skip
4,5,19,20,10.27,1.14,0,7.26,-0.347,356.235,Pro-24skip
4,5,20,21,3.66,4.57,0,36.07,-0.102,356.235,Pro-24skip
4,5,21,22,10.43,1.7,0,-36.26,-0.242,356.194,Pro-24skip
4,5,22,23,1.47,0.16,0,-17.22,-0.029,356.194,Pro-24skip
4,5,23,24,20.16,2.51,0,-1.51,-0.334,355.75,Pro-24skip
5,6,1,2,11.33,0.06,0,107.4,-23.274,387.158,Pro-24skip
5,6,2,3,14.98,0,0,-59.62,-76.933,387.158,Pro-24skip
5,6,3,4,19.65,0.37,0,-220.45,-48.075,46.109,Pro-24skip
5,6,4,7,15.56,0.16,0,606.23,114.175,46.109,Pro-24skip
5,6,7,8,15.35,0.03,0,-7.41,-255.837,314.121,Pro-24skip
5,6,8,9,12.53,0.03,0,5.33,-52.209,314.121,Pro-24skip
5,6,9,10,10.61,0,0,-7.04,-22.67,402.644,Pro-24skip
5,6,10,11,12.36,0.06,0,-57.24,-13.199,402.644,Pro-24skip
5,6,11,12,11.11,0.03,0,50.64,-6.73,399.832,Pro-24skip
5,6,12,13,10.32,0.1,0,-16.4,-3.91,399.832,Pro-24skip
5,6,13,14,8.37,0.1,0,12.99,-2.098,397.129,Pro-24skip
5,6,14,15,6.84,0.09,0,2.12,-1.202,397.129,Pro-24skip
5,6,15,16,7.63,0.47,0,-5.01,-0.976,398.061,Pro-24skip
5,6,16,17,6.62,0.62,0,51.02,-0.636,398.061,Pro-24skip
5,6,17,18,8.88,0.07,0,-54.19,-0.658,399.392,Pro-24skip
5,6,18,19,5.46,1.33,0,9.02,-0.318,399.392,Pro-24skip
5,6,19,20,8.03,1.29,0,7.49,-0.375,400.692,Pro-24skip
5,6,20,21,5.53,3.61,0,36.23,-0.21,400.692,Pro-24skip
5,6,21,22,6.78,2.03,0,-36.48,-0.213,402.392,Pro-24skip
5,6,22,23,4.74,0.07,0,-17.11,-0.124,402.392,Pro-24skip
5,6,23,24,8.19,0.07,0,-1.77,-0.181,403.893,Pro-24skip
6,7,1,2,11.1,0.04,0,143.24,-11.369,386.244,Pro-24skip
6,7,2,3,13.08,0.04,0,-27.47,-26.793,386.244,Pro-24skip
6,7,3,4,16.06,0.04,0,-60.91,-50.977,239.29,Pro-24skip
6,7,4,5,17.58,0.1,0,-272.06,-223.137,239.29,Pro-24skip
6,7,5,8,15.06,0.06,0,571.7,154.025,64.248,Pro-24skip
6,7,8,9,14.77,0.03,0,6.43,-50.343,64.248,Pro-24skip
6,7,9,10,12.86,0.04,0,-6.71,-65.808,385.947,Pro-24skip
6,7,10,11,14.69,0,0,-58.21,-30.071,385.947,Pro-24skip
6,7,11,12,12.57,0.03,0,51.43,-12.91,387.338,Pro-24skip
6,7,12,13,11.46,0.16,0,-16.7,-6.73,387.338,Pro-24skip
6,7,13,14,9.17,0.13,0,13.19,-3.376,388.492,Pro-24skip
6,7,14,15,7.67,0.09,0,2.1,-1.882,388.492,Pro-24skip
6,7,15,16,8.33,0.18,0,-5.23,-1.437,389.972,Pro-24skip
6,7,16,17,7.48,0.35,0,51.63,-0.938,389.972,Pro-24skip
6,7,17,18,9.71,0.14,0,-55.31,-0.916,390.892,Pro-24skip
6,7,18,19,6.53,0.96,0,9.46,-0.474,390.892,Pro-24skip
6,7,19,20,8.68,0.14,0,7.68,-0.496,391.897,Pro-24skip
6,7,20,21,6.33,1.42,0,36.34,-0.289,391.897,Pro-24skip
6,7,21,22,7.18,0.13,0,-36.58,-0.267,392.86,Pro-24skip
6,7,22,23,5.19,2.96,0,-17.04,-0.159,392.86,Pro-24skip
6,7,23,24,8.81,1.86,0,-1.92,-0.226,393.881,Pro-24skip
7,8,1,2,10.23,0.07,0,167.62,-6.819,439.81,Pro-24skip
7,8,2,3,11.33,0.04,0,-15.54,-13.218,439.81,Pro-24skip
7,8,3,4,13.03,0.03,0,-33.21,-30.411,440.08,Pro-24skip
7,8,4,5,14.25,0,0,-110.57,-83.189,440.08,Pro-24skip
7,8,5,6,15.39,0.14,0,-156.62,-49.063,60.098,Pro-24skip
7,8,6,9,14.15,0.06,0,539.06,135.389,60.098,Pro-24skip
7,8,9,10,14.15,0,0,-5.92,-182.354,242.915,Pro-24skip
7,8,10,11,16.11,0.04,0,-58.83,-51.888,242.915,Pro-24skip
7,8,11,12,12.99,0.04,0,52.12,-30.367,440.492,Pro-24skip
7,8,12,13,11.26,0.08,0,-16.89,-13.161,440.492,Pro-24skip
7,8,13,14,8.99,0.06,0,13.36,-6.021,441.835,Pro-24skip
7,8,14,15,7.42,0.05,0,2.09,-3.106,441.835,Pro-24skip
7,8,15,16,8.42,0.14,0,-5.36,-2.356,442.895,Pro-24skip
7,8,16,17,7.14,0.36,0,52.07,-1.399,442.895,Pro-24skip
7,8,17,18,10.93,0.31,0,-56.19,-1.558,443.332,Pro-24skip
7,8,18,19,4.76,1.01,0,9.85,-0.509,443.332,Pro-24skip
7,8,19,20,7.64,0.13,0,7.82,-0.629,444.4,Pro-24skip
7,8,20,21,7.26,0.96,0,36.42,-0.47,444.4,Pro-24skip
7,8,21,22,5.56,1.44,0,-36.66,-0.289,446.004,Pro-24skip
7,8,22,23,1.88,5.54,0,-16.98,-0.079,446.004,Pro-24skip
7,8,23,24,18.6,0.13,0,-2,-0.649,446.934,Pro-24skip
8,9,1,2,9.59,0.06,0,184.06,-4.365,480.267,Pro-24skip
8,9,2,3,10.43,0.07,0,-10.46,-7.595,480.267,Pro-24skip
8,9,3,4,11.39,0.03,0,-24.75,-14.936,494.254,Pro-24skip
8,9,4,5,12.03,0.05,0,-61.53,-31.542,494.254,Pro-24skip
8,9,5,6,12.54,0,0,-33.04,-51.286,308.343,Pro-24skip
8,9,6,7,14.75,0.03,0,-239.46,-241.286,308.343,Pro-24skip
8,9,7,10,15.56,0.05,0,523.98,116.696,47.127,Pro-24skip
8,9,10,11,19.91,0,0,-58.07,-49.787,47.127,Pro-24skip
8,9,11,12,15.15,0.03,0,52.32,-98.572,490.608,Pro-24skip
8,9,12,13,12.03,0.05,0,-17.16,-31.307,490.608,Pro-24skip
8,9,13,14,8.99,0.03,0,13.45,-11.766,493.645,Pro-24skip
8,9,14,15,7.66,0,0,2.06,-5.735,493.645,Pro-24skip
8,9,15,16,8.02,0,0,-5.47,-3.729,490.894,Pro-24skip
8,9,16,17,8.02,0.2,0,52.36,-2.486,490.894,Pro-24skip
8,9,17,18,9.02,0.03,0,-56.89,-1.965,492.454,Pro-24skip
