x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730832.653,5026249.862,14.96214414,21.17686411,23.97296359,4.19,13.14166479,18.0304208,23.18706532
730832.6245,5026249.963,14.95214414,21.14686411,24.04296359,4.19,13.14166479,18.0304208,23.18706532
730832.6255,5026249.935,14.96214414,21.21686411,24.03296359,4.19,13.14166479,18.0304208,23.18706532
730832.6303,5026249.876,14.92214414,21.19686411,24.01296359,4.19,13.14166479,18.0304208,23.18706532
730832.6401,5026249.857,14.86214414,21.18686411,24.07296359,4.19,13.14166479,18.0304208,23.18706532
730832.6501,5026249.834,14.84214414,21.16686411,23.95296359,4.19,13.14166479,18.0304208,23.18706532
730832.6597,5026249.786,14.83214414,21.10686411,23.72296359,4.19,13.14166479,18.0304208,23.18706532
730832.661,5026249.715,14.70214414,21.14686411,23.71296359,4.19,13.14166479,18.0304208,23.18706532
730832.6601,5026249.311,14.84214414,21.26686411,24.05296359,4.18,12.79166479,18.1004208,23.53706532
730832.6827,5026248.624,14.32214414,20.96686411,24.95296359,4.23,12.44166479,18.2404208,23.20706532
730832.644,5026247.931,13.12214414,20.69686411,24.67296359,4.26,12.74166479,18.2504208,22.82706532
730832.6567,5026247.227,13.55214414,19.67686411,23.43296359,4.32,12.36166479,16.9004208,21.36706532
730832.6557,5026246.506,12.97214414,19.52686411,23.77296359,4.34,11.47166479,16.3204208,20.68706532
730832.6381,5026245.808,13.43214414,19.91686411,24.13296359,4.35,11.48166479,15.7404208,20.03706532
730832.6478,5026245.115,13.01214414,19.73686411,23.60296359,4.39,10.42166479,15.1104208,19.53706532
730832.6516,5026244.44,13.05214414,19.14686411,22.96296359,4.39,10.23166479,14.8204208,19.40706532
730832.654,5026243.767,12.83214414,19.05686411,22.97296359,4.39,10.23166479,14.8204208,19.40706532
730832.6555,5026243.119,12.74214414,19.09686411,22.81296359,4.39,10.16166479,14.7704208,19.34706532
730832.6366,5026242.458,12.59214414,18.96686411,22.64296359,4.41,10.42166479,14.8904208,19.69706532
730832.6058,5026241.763,12.83214414,19.14686411,22.91296359,4.47,10.08166479,15.0504208,19.97706532
730832.603,5026241.125,12.81214414,19.25686411,23.30296359,4.47,10.08166479,15.0504208,19.97706532
730832.6335,5026240.543,12.72214414,19.33686411,23.52296359,4.5,10.30166479,15.3104208,20.25706532
730832.6767,5026239.936,12.60214414,19.38686411,23.25296359,4.5,10.30166479,15.3104208,20.25706532
730832.7119,5026239.296,12.63214414,19.48686411,23.32296359,4.54,10.26166479,15.1804208,19.86706532
730832.7476,5026238.643,12.53214414,19.47686411,23.56296359,4.54,10.26166479,15.1804208,19.86706532
730832.7456,5026237.983,12.30214414,19.23686411,23.66296359,4.56,10.08166479,14.8504208,19.34706532
730832.7057,5026237.323,12.18214414,19.36686411,23.96296359,4.59,9.80166479,14.4004208,19.03706532
730832.6715,5026236.686,12.44214414,19.37686411,23.13296359,4.59,9.80166479,14.4004208,19.03706532
730832.6439,5026236.012,12.51214414,19.06686411,22.76296359,4.62,9.77166479,14.5304208,19.14706532
730832.6019,5026235.372,12.79214414,19.42686411,22.92296359,4.62,9.77166479,14.5304208,19.14706532
730832.4933,5026234.697,13.08214414,19.71686411,23.44296359,4.64,10.10166479,14.8004208,19.34706532
730832.488,5026233.985,13.00214414,19.57686411,22.99296359,4.64,9.99166479,14.7004208,19.28706532
