x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
0.125,0.0,8.99,12.89,17.225,0,11.208121212,16.495363636,19.853969697
0.375,0.0,8.82,12.875,17.35,0,11.038121212,16.480363636,19.978969697
0.625,0.0,8.7,13.0,17.61,0,10.918121212,16.605363636,20.238969697
0.875,0.0,8.575,13.22,17.725,0,10.793121212,16.825363636,20.353969697
1.125,0.0,8.985,13.55,17.725,0,11.203121212,17.155363636,20.353969697
1.375,0.0,9.54,13.815,17.8,0,11.758121212,17.420363636,20.428969697
1.625,0.0,9.24,13.695,17.795,0,11.458121212,17.300363636,20.423969697
1.875,0.0,8.98,13.545,17.869999999999997,0,11.198121212,17.150363636,20.498969697
2.125,0.0,9.095,13.67,17.83,0,11.313121212,17.275363636,20.458969697
2.375,0.0,9.085,13.615,17.425,0,11.303121212,17.220363636000002,20.053969697
2.625,0.0,9.42,13.455,17.225,0,11.638121212,17.060363635999998,19.853969697
2.875,0.0,9.465,13.285,17.125,0,11.683121212,16.890363636,19.753969697
3.125,0.0,9.055,13.05,16.994999999999997,0,11.273121212,16.655363636,19.623969697
3.375,0.0,8.98,12.925,17.1,0,11.198121212,16.530363636,19.728969697
3.625,0.0,9.025,13.0,17.34,0,11.243121212,16.605363636,19.968969697
3.875,0.0,9.225,13.415,17.555,0,11.443121212,17.020363636,20.183969697
4.125,0.0,9.26,13.61,17.475,0,11.478121212,17.215363636,20.103969697
4.375,0.0,9.2,13.375,17.335,0,11.418121212,16.980363636,19.963969697
4.625,0.0,9.705,13.46,17.445,0,11.923121212,17.065363636,20.073969697
4.875,0.0,9.51,13.475,17.345,0,11.728121212,17.080363636,19.973969697
5.125,0.0,9.145,13.37,17.07,0,11.363121212,16.975363636,19.698969696999995
5.375,0.0,9.515,13.425,16.905,0,11.733121212,17.030363636,19.533969697
5.625,0.0,9.835,13.385000000000002,16.755000000000003,0,12.053121212,16.990363636,19.383969697
