x,y,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0,elevation,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0
5.553927203,0,13.81,20.51666667,26.20666667,0,16.02812121,24.1220303,28.83563636
5.360057471,0,14.83333333,21.62,26.74333333,0,17.05145455,25.22536364,29.37230303
5.168390805,0,15.63,22.59,27.37,0,17.84812121,26.19536364,29.9989697
4.976724138,0,15.19333333,22.19333333,27.40666667,0,17.41145455,25.79869697,30.03563636
4.785057471,0,14.56666667,21.45333333,27.34333333,0,16.78478788,25.05869697,29.97230303
4.593390805,0,14.11,20.61666667,26.94666667,0,16.32812121,24.2220303,29.57563636
4.401724138,0,13.82333333,20.05,26.42,0,16.04145455,23.65536364,29.0489697
4.210057471,0,13.48333333,19.69,25.84333333,0,15.70145455,23.29536364,28.47230303
4.018390805,0,13.08,19.46333333,25.35666667,0,15.29812121,23.06869697,27.98563636
3.826724138,0,12.79666667,19.24,24.99666667,0,15.01478788,22.84536364,27.62563636
3.635057471,0,12.35666667,18.71333333,24.48,0,14.57478788,22.31869697,27.1089697
3.443390805,0,11.78,17.98333333,23.89666667,0,13.99812121,21.58869697,26.52563636
3.251724138,0,11.09333333,17.13666667,23.14333333,0,13.31145455,20.7420303,25.77230303
3.060057471,0,10.47666667,16.35666667,22.34666667,0,12.69478788,19.9620303,24.97563636
2.868390805,0,9.843333333,15.61666667,21.52333333,0,12.06145455,19.2220303,24.15230303
2.676724138,0,9.2,14.85,20.71333333,0,11.41812121,18.45536364,23.34230303
2.485057471,0,8.703333333,14.16333333,20.06,0,10.92145455,17.76869697,22.6889697
2.293390805,0,8.43,13.71,19.53,0,10.64812121,17.31536364,22.1589697
2.101724138,0,8.366666667,13.46,19.09666667,0,10.58478788,17.06536364,21.72563636
1.910057471,0,8.343333333,13.28333333,18.69666667,0,10.56145455,16.88869697,21.32563636
1.718390805,0,8.31,13.15333333,18.47,0,10.52812121,16.75869697,21.0989697
1.526724138,0,8.256666667,13.02666667,18.25,0,10.47478788,16.6320303,20.8789697
1.335057471,0,8.203333333,12.87666667,18.03333333,0,10.42145455,16.4820303,20.66230303
1.143390805,0,8.29,12.79,17.79,0,10.50812121,16.39536364,20.4189697
0.951724138,0,8.386666667,12.72,17.59333333,0,10.60478788,16.32536364,20.22230303
0.760057471,0,8.473333333,12.72666667,17.53666667,0,10.69145455,16.3320303,20.16563636
0.568390805,0,8.456666667,12.70666667,17.49,0,10.67478788,16.3120303,20.1189697
0.376724138,0,8.54,12.74333333,17.49333333,0,10.75812121,16.34869697,20.12230303
