ID,Y,X,VWC%,Lat,Long,depth
1,5026246.01,730835.1825,22.3,45.35169854,11.94691025,0.2
2,5026204.675,730869.3019,16.32,45.35131573,11.94732595,0.2
3,5026163.881,730830.5047,16.3,45.35096179,11.94681226,0.2
4,5026211.156,730833.3066,16.3,45.35138584,11.94687006,0.2
5,5026200.866,730832.4096,17,45.35129364,11.94685382,0.2
6,5026188.56,730831.4414,17.4,45.35118333,11.94683573,0.2
7,5026176.137,730830.5755,18.1,45.35107194,11.94681889,0.2
8,5026222.932,730835.0691,20.3,45.35149112,11.94689803,0.2
9,5026151.221,730829.4369,14.9,45.35084833,11.94679274,0.2
10,5026142.194,730836.6684,15.6,45.35076481,11.94688072,0.2
11,5026125.298,730827.8659,31.7,45.35061582,11.94676061,0.2
12,5026118.166,730827.5806,16.3,45.3505518,11.94675364,0.2
13,5026106.662,730825.6998,29.7,45.350449,11.94672429,0.2
14,5026089.331,730824.906,30.1,45.35029347,11.94670608,0.2
15,5026078.313,730823.7831,16.3,45.35019479,11.94668662,0.2
16,5026064.956,730822.1136,15.6,45.35007527,11.9466591,0.2
17,5026054.336,730826.5109,12.3,45.34997835,11.9467102,0.2
18,5026035.048,730819.9434,20.6,45.34980713,11.94661747,0.2
19,5026022.217,730820.4408,28.1,45.34969162,11.94661782,0.2
20,5026012.501,730823.1893,27.9,45.34960337,11.94664832,0.2
21,5026035.222,730826.6535,15.6,45.34980648,11.9467031,0.2
22,5026050.057,730821.5186,17.8,45.34994153,11.94664456,0.2
23,5026079.008,730838.5222,15.1,45.35019619,11.94687485,0.2
24,5026098.474,730830.3344,15.6,45.35037387,11.94677956,0.2
25,5026106.816,730837.9043,31.4,45.35044637,11.94687996,0.2
26,5026136.323,730828.4805,18.9,45.35071472,11.94677359,0.2
27,5026152.192,730838.3595,9.5,45.35085413,11.94690695,0.2
28,5026171.077,730841.014,15.2,45.35102302,11.94694961,0.2
29,5026194.083,730841.4654,12.7,45.35122968,11.94696611,0.2
30,5026216.656,730843.6273,9.8,45.35143189,11.94700421,0.2
31,5026241.993,730865.8665,15.6,45.35165233,11.94729957,0.2
32,5026242.906,730846.5452,15.6,45.3516669,11.94705367,0.2
33,5026236.74,730855.3614,6.9,45.35160857,11.94716319,0.2
34,5026225.187,730854.9399,8,45.35150485,11.94715242,0.2
35,5026213.233,730853.0413,10.9,45.35139802,11.94712263,0.2
36,5026190.321,730849.9342,14.5,45.35119307,11.94707232,0.2
37,5026171.706,730847.273,13.4,45.35102661,11.9470297,0.2
38,5026153.681,730844.9424,16,45.35086534,11.94699157,0.2
39,5026135.119,730842.2729,12.3,45.35069936,11.94694887,0.2
40,5026115.622,730842.0754,14.2,45.35052416,11.94693725,0.2
41,5026097.547,730840.0671,13.8,45.35036234,11.94690321,0.2
42,5026082.098,730831.5703,20.3,45.35022625,11.94678767,0.2
43,5026057.38,730833.2696,15.2,45.35000349,11.94679779,0.2
44,5026044.066,730828.2225,17.4,45.34988547,11.94672723,0.2
45,5026038.36,730837.2086,10.9,45.34983122,11.94683913,0.2
46,5026015.08,730834.0876,24.9,45.34962297,11.94678847,0.2
47,5026026.236,730831.6458,18.1,45.34972406,11.94676255,0.2
48,5026049.812,730837.1454,16,45.34993419,11.94684367,0.2
49,5026064.641,730838.9857,16.2,45.35006688,11.94687405,0.2
50,5026088.432,730845.3197,35,45.35027867,11.94696591,0.2
51,5026104.808,730846.7101,31.1,45.35042542,11.94699129,0.2
52,5026122.574,730854.8979,33.6,45.35058243,11.94710397,0.2
53,5026140.835,730849.2201,9.5,45.35074846,11.94704011,0.2
54,5026157.94,730851.8041,15.2,45.35090137,11.94708104,0.2
55,5026175.674,730854.4622,13.4,45.35105991,11.94712321,0.2
56,5026193.934,730857.1348,13.1,45.35122318,11.94716581,0.2
57,5026211.404,730862.7768,14.2,45.35137837,11.9472459,0.2
58,5026228.88,730862.067,11.6,45.3515357,11.94724501,0.2
59,5026231.179,730845.4742,9.1,45.35156183,11.94703454,0.2
60,5026188.129,730865.8786,13.1,45.35116812,11.94727458,0.2
61,5026218.653,730870.443,15.4,45.35144101,11.94734702,0.2
62,5026231.205,730870.443,19.9,45.35155385,11.94735288,0.2
63,5026234.058,730835.0691,20.7,45.35159114,11.94690322,0.2
64,5026172.845,730861.3592,11.6,45.35103221,11.94720982,0.2
65,5026154.291,730858.8558,14.6,45.35086625,11.94716924,0.2
66,5026136.014,730856.5973,20.3,45.35070269,11.94713191,0.2
67,5026113.614,730853.8165,17.5,45.35050224,11.947086,0.2
68,5026123.81,730844.8562,32.1,45.35059685,11.94697652,0.2
69,5026077.728,730848.4769,20.7,45.3501814,11.94700117,0.2
70,5026058.616,730847.328,16,45.35000998,11.9469776,0.2
71,5026044.736,730846.0364,12.3,45.34988563,11.94695465,0.2
72,5026032.797,730844.1978,12.7,45.34977891,11.94692564,0.2
73,5026012.123,730843.1653,18.9,45.3495934,11.94690282,0.2
74,5026017.963,730851.6149,16.3,45.34964312,11.94701327,0.2
75,5026023.954,730843.4846,17.4,45.34969965,11.94691241,0.2
76,5026052.624,730852.6134,14.2,45.34995437,11.94704218,0.2
77,5026065.199,730855.2972,17.5,45.35006653,11.94708227,0.2
78,5026079.163,730856.4428,19.6,45.35019168,11.9471034,0.2
79,5026103.726,730861.5409,32.2,45.35041081,11.94717986,0.2
80,5026121.018,730865.8073,31.1,45.35056485,11.94724233,0.2
81,5026112.745,730870.3717,20.7,45.35048898,11.94729666,0.2
82,5026103.263,730871.1191,28.1,45.3504035,11.94730176,0.2
83,5026086.115,730859.2235,30.4,45.35025326,11.94714209,0.2
84,5026059.929,730864.3216,14.9,45.35001618,11.94719486,0.2
85,5026042.639,730874.2942,19.2,45.34985747,11.94731393,0.2
86,5026022.1,730864.7375,18.9,45.34967599,11.9471825,0.2
87,5026014.111,730859.7191,17.8,45.34960582,11.94711479,0.2
88,5026013.355,730870.398,17.4,45.34959551,11.94725058,0.2
89,5026029.418,730870.8101,18.5,45.34973977,11.94726333,0.2
90,5026047.204,730867.0197,17,45.34990091,11.94722332,0.2
91,5026060.006,730874.8268,16.7,45.35001342,11.94732883,0.2
92,5026076.846,730877.6076,17.1,45.35016388,11.94737214,0.2
93,5026094.612,730863.0857,12.7,45.35032837,11.9471953,0.2
94,5026110.369,730883.7871,10.9,45.3504632,11.94746658,0.2
95,5026118.38,730882.7386,26.8,45.35053556,11.94745695,0.2
97,5026099.338,730888.0587,31.4,45.35036263,11.94751589,0.2
98,5026082.567,730885.051,29.9,45.35021286,11.94746971,0.2
99,5026091.136,730884.096,17,45.35029021,11.94746154,0.2
100,5026051.405,730881.8242,19.9,45.3499338,11.94741402,0.2
101,5026038.378,730861.8498,15,45.34982327,11.94715328,0.2
102,5026092.912,730871.5825,15.6,45.35031029,11.94730283,0.2
103,5026095.384,730852.4261,14.7,45.35033882,11.94705976,0.2
104,5026102.954,730879.1524,31.3,45.35039807,11.94740403,0.2
105,5026068.194,730864.1671,29,45.35009053,11.94719675,0.2
106,5026108.67,730865.403,15.7,45.35045398,11.94723141,0.2
107,5026111.451,730859.8415,16.2,45.35048081,11.9471618,0.2
108,5026113.923,730831.7248,12.5,45.35051229,11.94680449,0.2
109,5026084.106,730875.7537,32.5,45.35022976,11.9473519,0.2
110,5026038.996,730851.9626,10.3,45.34983208,11.94702752,0.2
111,5026030.373,730855.6088,13.3,45.34975336,11.94706998,0.2
112,5026074.091,730862.7406,13.6,45.35014401,11.94718132,0.2
113,5026181.568,730844.7684,12.1,45.35111609,11.94700237,0.2
114,5026240.619,730877.5749,22,45.35163612,11.94744821,0.2
115,5026114.528,730892.1238,20.6,45.35049784,11.94757481,0.2
116,5026017.963,730879.1439,17.5,45.34963405,11.94736423,0.2
117,5026069.894,730846.4011,29,45.35011166,11.94697105,0.2
118,5026071.747,730835.587,34.2,45.35013188,11.94683404,0.2
119,5026072.829,730823.0735,27.6,45.35014573,11.94667501,0.2
120,5026065.877,730881.1608,30.1,45.35006411,11.94741232,0.2
121,5026107.28,730852.7351,32.4,45.35044566,11.94706925,0.2
122,5026158.26,730866.1755,17,45.35089952,11.94726441,0.2
123,5026142.194,730862.7768,18.2,45.35075621,11.94721358,0.2
124,5026033.744,730878.8435,16.5,45.34977601,11.94736777,0.2
125,5026203.989,730846.4011,13,45.3513171,11.94703366,0.2
126,5026248.713,730852.542,16,45.35171713,11.94713283,0.2
127,5026181.897,730835.8187,16.4,45.35112199,11.94688843,0.2
128,5026201.053,730851.8081,12.5,45.35128893,11.94710122,0.2
